query,function_call
Tôi muốn thêm báo cáo.,"add(departments='accountant', content='report', id='report_776', type_of_time='month', specific_time='2025-06-01')"
Tôi cần tra cứu nhân viên năm ngoái.,"get(departments='finance', content='employee', id='employee_972', type_of_time='year', specific_time='2025-01-01')"
Tôi cần hủy nhiệm vụ.,"delete(departments='accountant', content='task', id='task_786', type_of_time='year', specific_time='2025-01-01')"
Bạn giúp tôi so sánh các nhiệm vụ này nhé từ đầu tháng đến nay.,"compare(departments='finance', content='task', id='task_105', type_of_time='range', specific_time='2025-05-31 to 2025-06-09')"
Cho tôi dự đoán về báo cáo ngày mai.,"predict(departments='manager', content='report', id='report_105', type_of_time='day', specific_time='2025-05-26')"
Bạn có thể giúp tôi thêm hiệu suất không?,"add(departments='employee', content='performance', id='performance_930', type_of_time='month', specific_time='2025-06-01')"
Tôi cần tra cứu hiệu suất từ ngày 1 đến ngày 15.,"get(departments='manager', content='performance', id='performance_602', type_of_time='range', specific_time='2025-06-02 to 2025-06-29')"
Làm ơn gỡ bỏ hiệu suất này giúp tôi.,"delete(departments='hr', content='performance', id='performance_814', type_of_time='day', specific_time='2025-01-27')"
So sánh các nhiệm vụ giúp tôi với tháng 12 năm ngoái.,"compare(departments='finance', content='task', id='task_174', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn biết dự báo về hiệu suất tháng 6.,"predict(departments='accountant', content='performance', id='performance_904', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn đăng ký dự án.,"add(departments='accountant', content='project', id='project_306', type_of_time='range', specific_time='2025-06-07 to 2025-06-10')"
Tôi cần tra cứu nhân viên hai tuần qua.,"get(departments='accountant', content='employee', id='employee_637', type_of_time='range', specific_time='2025-05-30 to 2025-06-04')"
Mình muốn loại bỏ hiệu suất khỏi hệ thống.,"delete(departments='manager', content='performance', id='performance_640', type_of_time='range', specific_time='2025-05-10 to 2025-05-16')"
So sánh các hiệu suất giúp tôi với ngày 15 tháng 5.,"compare(departments='accountant', content='performance', id='performance_146', type_of_time='day', specific_time='2025-03-31')"
Tôi muốn biết dự báo về báo cáo hai tuần qua.,"predict(departments='finance', content='report', id='report_611', type_of_time='range', specific_time='2025-06-02 to 2025-06-10')"
Tôi muốn thêm báo cáo.,"add(departments='accountant', content='report', id='report_153', type_of_time='month', specific_time='2025-06-01')"
Bạn kiểm tra giúp tôi nghỉ phép nhé năm 2024.,"get(departments='employee', content='leave_request', id='leave_request_900', type_of_time='year', specific_time='2025-01-01')"
Tôi cần hủy hiệu suất.,"delete(departments='employee', content='performance', id='performance_158', type_of_time='year', specific_time='2025-01-01')"
Mình cần so sánh tình trạng nghỉ phép từ đầu tháng đến nay.,"compare(departments='finance', content='leave_request', id='leave_request_824', type_of_time='range', specific_time='2025-06-05 to 2025-06-13')"
Bạn có thể dự đoán hiệu suất giúp tôi không? tháng trước.,"predict(departments='manager', content='performance', id='performance_674', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn đăng ký hóa đơn.,"add(departments='manager', content='invoice', id='invoice_231', type_of_time='month', specific_time='2025-06-01')"
Bạn kiểm tra giúp tôi hiệu suất nhé năm 2024.,"get(departments='accountant', content='performance', id='performance_601', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể xóa nghỉ phép giùm tôi không?,"delete(departments='finance', content='leave_request', id='leave_request_213', type_of_time='day', specific_time='2025-01-12')"
Tôi muốn đối chiếu hiệu suất ngày 1 tháng 6.,"compare(departments='hr', content='performance', id='performance_505', type_of_time='day', specific_time='2024-07-14')"
Mình cần ước tính chấm công trong thời gian tới năm 2025.,"predict(departments='employee', content='attendance', id='attendance_590', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đăng ký nhiệm vụ.,"add(departments='finance', content='task', id='task_86', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn xem thông tin hóa đơn tháng 6.,"get(departments='manager', content='invoice', id='invoice_442', type_of_time='month', specific_time='2025-06-01')"
Làm ơn gỡ bỏ hiệu suất này giúp tôi.,"delete(departments='accountant', content='performance', id='performance_270', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn biết sự khác biệt giữa các dự án ngày 15 tháng 5.,"compare(departments='manager', content='project', id='project_696', type_of_time='day', specific_time='2024-10-11')"
Bạn có thể dự đoán dự án giúp tôi không? tháng này.,"predict(departments='accountant', content='project', id='project_958', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn đăng ký dự án.,"add(departments='finance', content='project', id='project_189', type_of_time='day', specific_time='2025-03-27')"
Tôi cần tra cứu nghỉ phép trong quý trước.,"get(departments='hr', content='leave_request', id='leave_request_130', type_of_time='range', specific_time='2025-05-26 to 2025-06-01')"
Tôi cần hủy dự án.,"delete(departments='employee', content='project', id='project_543', type_of_time='year', specific_time='2025-01-01')"
Bạn giúp tôi so sánh các hiệu suất này nhé ba tháng gần đây.,"compare(departments='hr', content='performance', id='performance_623', type_of_time='range', specific_time='2025-06-04 to 2025-06-20')"
Bạn có thể cho biết dự đoán của chấm công không? tháng 6.,"predict(departments='manager', content='attendance', id='attendance_24', type_of_time='month', specific_time='2025-06-01')"
